first_name,last_name,city,mobile_no,phone_no,email,Is_email_s,Stream
vipul,shete,beed,8484891290,702085447,vipulshete@gmail.com,yes,Mech
vaibhav,shete,mumbai,70208524447,9665281201,vaibhavshete@gmail.com,no,IT
ram,shinde,beed,569856,,rams_hinde@gmail.com,no,B.com
$hubham,joshi,pune,1234567892,8484756892,shubham@gmail.com,,Law
kai&lash,jadhav,mumbai,,598564,pavanjad@gmail.com,yes,IT
pavan,ra$al,beed,8484895260,4311222265,pavanjad@gmail.com,,Teacher
lisa,dash,mumbai,8569877,,lisadash@gmail.com,yes,IT
tuka#ram,shinde,pune,,8484891290,tuk#aram@gmail.com,no,CS
smarth,shete,mumbai,8756987845,8484892448,smarth@gmail.com,yes,EEE
rahul,shete,pune,56987568,,rahul@gmail.com,,Mech
vishal,shete,beed,,,vishal@gmail.com,yes,CE
renu,gonde,beed,8484891290,,renugonde@gmail.com,no,IT
sham,kad@m,pune,4587965,7845845698,sham@gmail.com,no,Mech
ajay43,birajdar,hyd,7020145875,,ajay87@gmail.com,yes,CE
p00ja,gadge,pune,4215658457,7896541236,pooja57@gmailcom
